"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RPL32","YBL092W","RPL32",5,5,5,37.7,14.771,130,NA,NA,NA,NA,27.8535284866503,27.3661134017737,27.4984598128391,27.475528366696,26.9353956474357,26.386517597773,27.2723088499544,23.7615042805907,21.5831714991285,21.5882317693117,21.3900519179587,27.8535284866503,27.3661134017737,27.4984598128391,27.475528366696,26.9353956474357,26.386517597773,27.2723088499544,22.0807398667474,27.5727005670877,27.0174376154648,0,3,4,0.00148651240351502,0.107053371792884,2.82783146267455,0.970399649453312,-5.49196070034031,0.555262951622939,FALSE,FALSE
"HHF2","YNL030W;YBR009C","HHF2",3,3,3,43.7,11.368,103,NA,NA,NA,NA,25.8940250495075,26.4724947623082,26.3924749175314,25.1487605028988,25.7992673903217,25.1504272159644,25.024029742443,23.742550770743,21.6491685990873,21.6097817517909,21.4117234432971,25.8940250495075,26.4724947623082,26.3924749175314,25.1487605028988,25.7992673903217,25.1504272159644,25.024029742443,22.1033061412296,26.2529982431157,25.280621212907,0,3,4,0.00288126055408451,0.0131998634294012,2.54041746643859,1.87943056213993,-4.14969210188611,0.972377030208701,FALSE,FALSE
"OLA1","YBR025C","OLA1",4,4,4,12.7,44.174,394,NA,22.8414376579668,NA,NA,23.2142455914217,22.690063638148,22.714061009432,22.2573866916449,22.1436709410109,NA,22.2773907068672,23.736697244442,22.8414376579668,21.618515418985,21.6353644097894,23.2142455914217,22.690063638148,22.714061009432,22.2573866916449,22.1436709410109,21.5086916856475,22.2773907068672,22.4580036827958,22.8727900796672,22.0467850062926,1,3,3,0.490111409233904,0.0218499841563718,0.309705187490117,1.66054887360444,-0.414786396871428,0.826005073374599,FALSE,FALSE
"RPL4B","YDR012W;YBR031W","RPL4B",8,8,8,40.9,39.062,362,26.8200683048383,27.4818536184126,26.9369685570668,26.8868116172609,28.9251580242071,28.4617798026241,28.5831943532448,28.6870570692222,28.1483144275195,27.9076457457424,28.4636127374921,26.8200683048383,27.4818536184126,26.9369685570668,26.8868116172609,28.9251580242071,28.4617798026241,28.5831943532448,28.6870570692222,28.1483144275195,27.9076457457424,28.4636127374921,27.0314255243946,28.656710726692,28.3016574949941,4,3,4,0.000554040642980264,0.168573726793299,3.25645837538958,0.773210111786175,-1.62528520229736,0.355053231697941,FALSE,FALSE
"RPS11A","YDR025W;YBR048W","RPS11A",10,10,10,63.5,17.749,156,23.6520659398065,23.4065237076764,23.2278057010952,22.6221421066498,29.1562938220918,28.0964754959999,28.4119144852095,28.4998667452924,27.9332019473192,27.0364293690324,28.0610576708407,23.6520659398065,23.4065237076764,23.2278057010952,22.6221421066498,29.1562938220918,28.0964754959999,28.4119144852095,28.4998667452924,27.9332019473192,27.0364293690324,28.0610576708407,23.227134363807,28.5548946011004,27.8826389331212,4,3,4,0.000205402472498711,0.189485255773712,3.68739433295839,0.722424577702444,-5.32776023729341,0.672255667979208,FALSE,FALSE
"HSP26","YBR072W","HSP26",3,3,3,21,23.879,214,NA,NA,NA,NA,NA,NA,NA,NA,23.9767493987126,23.9874583275205,23.4943604869973,23.7489622025197,21.3870383874358,21.8053814554911,21.3161078458615,21.3180067955328,21.0864559722169,21.3385376072561,21.595113563616,23.9767493987126,23.9874583275205,23.4943604869973,22.064372472827,21.2476667916686,23.2634204442116,0,0,3,0.248921304497178,0.0367046813837613,0.603937931717611,1.43527854148423,0.816705681158421,-2.01575365254299,NA,FALSE
"RPG1","YBR079C","RPG1",6,6,6,6.7,110.34,964,NA,22.1363353199788,NA,NA,21.7499283341472,NA,21.8138594603092,NA,NA,NA,NA,23.8014088952002,22.1363353199788,21.8916129176186,21.5181443420893,21.7499283341472,20.8407461428167,21.8138594603092,21.5241753965552,21.6720216306724,21.8405663101327,20.1882526840597,22.3368753687217,21.4681779790911,21.306254005355,1,2,0,0.207098681902947,0.75529182051218,0.683822665201662,0.121885218501111,0.86869738963069,0.161923973736069,FALSE,FALSE
"TEF1","YPR080W;YBR118W","TEF1",11,11,11,40.8,50.032,458,28.7204826189871,29.4713865259533,28.6553660130167,28.711616145386,28.9644683613851,28.708100300448,28.5763982497354,27.9856030221257,28.2058302305812,28.0999398334916,27.8385192759738,28.7204826189871,29.4713865259533,28.6553660130167,28.711616145386,28.9644683613851,28.708100300448,28.5763982497354,27.9856030221257,28.2058302305812,28.0999398334916,27.8385192759738,28.8897128258358,28.7496556371895,28.0324730905431,4,3,4,0.56375530356143,0.00764949734219178,0.248909359443687,2.11636710192935,0.140057188646299,0.717182546646423,FALSE,FALSE
"GRS1","YBR121C","GRS1",2,2,2,5.4,75.338,667,NA,24.2413268407488,22.6321414531692,NA,NA,NA,NA,NA,NA,NA,NA,23.8557266317953,24.2413268407488,22.6321414531692,21.5969589746532,20.9570392009867,20.8777202369063,21.0972839937523,21.4339421001126,21.7038601153829,21.8590509247432,20.4798699717899,23.0815384750916,20.9773478105484,21.3691807780072,2,0,0,0.038818645783463,0.296561471304113,1.41095961936053,0.52788527234647,2.10419066454321,-0.39183296745875,TRUE,NA
"VMA2","YBR127C","VMA2",5,5,5,13.5,57.749,517,26.4831153477125,26.4685539451161,26.412221460509,26.3847404134162,25.9748036954311,26.0477877515406,26.0936174376731,25.1524788909729,25.5823905594254,25.8815236435976,25.3491848341005,26.4831153477125,26.4685539451161,26.412221460509,26.3847404134162,25.9748036954311,26.0477877515406,26.0936174376731,25.1524788909729,25.5823905594254,25.8815236435976,25.3491848341005,26.4371577916885,26.0387362948816,25.4913944820241,4,3,4,0.000960236016470705,0.0367788277633333,3.01762200857188,1.43440211696931,0.398421496806886,0.547341812857479,FALSE,FALSE
"SUP45","YBR143C","SUP45",7,7,7,18.8,49.005,437,NA,27.0412425423306,26.9546020879897,26.6415484015642,25.989798465975,25.9219108348042,25.9262161728264,NA,NA,NA,NA,23.7901310286329,27.0412425423306,26.9546020879897,26.6415484015642,25.989798465975,25.9219108348042,25.9262161728264,21.629608354159,21.5324822871735,21.3911118052797,20.7538026671751,26.1068810151293,25.9459751578685,21.3267512784468,3,3,0,0.849242824113122,0.000147029457280422,0.0709681141208611,3.83259564584567,0.16090585726084,4.61922387942168,FALSE,TRUE
"RPB5","YBR154C","RPB5",2,2,2,20.9,25.079,215,NA,NA,NA,NA,22.2406283118258,NA,22.3097749748047,NA,NA,NA,NA,23.7647727514827,21.5855821454875,21.7581388446634,21.4905446174138,22.2406283118258,21.0021315444667,22.3097749748047,21.4984372856049,21.4660132153126,21.7330803575618,19.6276831274158,22.1497595897618,21.8508449436991,21.0813034964738,0,2,0,0.682086157797514,0.287976023951762,0.166160763917256,0.54064366883417,0.298914646062777,0.769541447225279,FALSE,FALSE
"RPS6A","YPL090C;YBR181C","RPS6A",11,11,11,59.3,26.996,236,24.2877828219235,25.4530276768969,24.5917784426767,24.9712772591208,29.3643609883437,28.5987156016156,28.8793223791023,28.9962305085588,28.6327017241721,28.3867313705687,28.76354078819,24.2877828219235,25.4530276768969,24.5917784426767,24.9712772591208,29.3643609883437,28.5987156016156,28.8793223791023,28.9962305085588,28.6327017241721,28.3867313705687,28.76354078819,24.8259665501545,28.9474663230205,28.6948010978724,4,3,4,6.73179371451103e-05,0.392960086115652,4.17186920078032,0.405651559701013,-4.12149977286605,0.252665225148114,FALSE,FALSE
"RPS9B","YBR189W;YPL081W","RPS9B",9,9,9,49.2,22.298,195,NA,24.6442193714161,24.1653799536173,24.6462536984939,28.2201117019832,27.4069777627252,27.797611066421,28.1473442223445,27.8156169503492,27.1617331472084,27.8777145609922,23.7413875357527,24.6442193714161,24.1653799536173,24.6462536984939,28.2201117019832,27.4069777627252,27.797611066421,28.1473442223445,27.8156169503492,27.1617331472084,27.8777145609922,24.29931013982,27.8082335103765,27.7506022202236,3,3,4,0.000173074854602262,0.862470479366979,3.76176602456103,0.0642557610285241,-3.50892337055647,0.0576312901529441,FALSE,FALSE
"RPL21A","YBR191W","RPL21A",9,9,1,66.2,18.242,160,NA,22.8310535918369,22.0599279658529,22.1637995231497,29.7797533145671,29.2276588320081,27.4669994841955,27.5314070438708,26.9613527156937,26.840861655148,28.7667347265446,23.7454978858487,22.8310535918369,22.0599279658529,22.1637995231497,29.7797533145671,29.2276588320081,27.4669994841955,27.5314070438708,26.9613527156937,26.840861655148,28.7667347265446,22.7000697416721,28.8248038769236,27.5250890353143,3,3,4,0.00355012982691851,0.19931344931876,2.44975576466791,0.700463394887825,-6.1247341352515,1.29971484160927,FALSE,FALSE
"PGI1","YBR196C","PGI1",6,6,6,15.5,61.298,554,NA,25.7807421949379,23.6616650349196,23.6316753194196,22.5711017450778,22.9411486467211,NA,NA,23.6348907959984,24.1317119213606,23.271133567261,23.8058968495052,25.7807421949379,23.6616650349196,23.6316753194196,22.5711017450778,22.9411486467211,21.0527711983289,21.6429198773398,23.6348907959984,24.1317119213606,23.271133567261,24.2199948496956,22.1883405300426,23.1701640404899,3,2,3,0.0520742690192347,0.272939772867575,1.28337681764792,0.563933174193304,2.03165431965298,-0.981823510447352,FALSE,FALSE
"PDB1","YBR221C","PDB1",2,2,2,8.2,40.053,366,NA,24.9838105505053,24.5656971268492,24.3481381183266,24.8265802953967,24.6363298934154,24.8118622708347,24.9670605192053,25.3183795157964,24.9483768570107,24.8645745930433,23.7660249919658,24.9838105505053,24.5656971268492,24.3481381183266,24.8265802953967,24.6363298934154,24.8118622708347,24.9670605192053,25.3183795157964,24.9483768570107,24.8645745930433,24.4159176969117,24.7582574865489,25.0245978712639,3,3,4,0.272302638167328,0.0765705741023462,0.564948151036228,1.11593809668892,-0.34233978963718,-0.266340384715019,FALSE,FALSE
"CHA1","YCL064C","CHA1",3,3,3,8.3,39.301,360,NA,21.8665379060606,NA,21.8149938852314,21.9454595540414,21.6877378974635,21.897851363255,NA,NA,NA,NA,23.8265447645461,21.8665379060606,21.6223822907314,21.8149938852314,21.9454595540414,21.6877378974635,21.897851363255,21.443117815208,21.7446299638298,21.3883627810258,20.4494392475542,22.2826147116424,21.8436829382533,21.2563874519045,2,3,0,0.460693123246754,0.124643441809812,0.336588270400409,0.904330567226298,0.438931773389083,0.587295486348818,FALSE,FALSE
"PGK1","YCR012W","PGK1",14,14,14,44.7,44.738,416,26.8530525067579,28.976399802772,27.2623958362682,27.3383263070349,25.288663061515,26.5750929010744,25.6406661710085,25.4902035662069,26.2566851010804,26.776807694963,25.3498259944122,26.8530525067579,28.976399802772,27.2623958362682,27.3383263070349,25.288663061515,26.5750929010744,25.6406661710085,25.4902035662069,26.2566851010804,26.776807694963,25.3498259944122,27.6075436132082,25.8348073778659,25.9683805891656,4,3,4,0.0327578887551793,0.804846988019415,1.48468409627432,0.0942866768683508,1.77273623534229,-0.133573211299684,TRUE,FALSE
"RPS14A","YCR031C;YJL191W","RPS14A",5,5,5,63.5,14.536,137,25.0117571952789,25.2771423608821,25.7326754778958,24.1861626123573,27.6116115619467,27.7239033750309,27.448529229223,27.4812377400507,27.062293560443,27.1360419004244,27.0557932964461,25.0117571952789,25.2771423608821,25.7326754778958,24.1861626123573,27.6116115619467,27.7239033750309,27.448529229223,27.4812377400507,27.062293560443,27.1360419004244,27.0557932964461,25.0519344116035,27.5946813887335,27.183841624341,4,3,4,0.00315619207987932,0.0241937827309951,2.50083657431773,1.61629622379345,-2.54274697713,0.410839764392488,FALSE,FALSE
"NOP1","YDL014W","NOP1",6,6,6,22,34.465,327,NA,23.5814139216302,22.5920408826053,NA,24.950870173753,25.5144256041684,24.6236051334192,24.2069481655778,24.3707927498688,24.4448066316573,23.9473515665651,23.7155701825586,23.5814139216302,22.5920408826053,21.3144324350765,24.950870173753,25.5144256041684,24.6236051334192,24.2069481655778,24.3707927498688,24.4448066316573,23.9473515665651,22.8008643554676,25.0296336371135,24.2424747784172,2,3,4,0.020609799652266,0.07661501695052,1.68592622997422,1.11568609799726,-2.22876928164587,0.787158858696287,FALSE,FALSE
"PSA1","YDL055C","PSA1",10,10,10,40.4,39.565,361,27.1787365696989,27.8581017811964,27.7413688468695,27.4599054624599,26.8604126060367,26.9467048131216,26.934271089704,26.4906320379759,26.9226368446845,26.8820369834743,26.4453908945358,27.1787365696989,27.8581017811964,27.7413688468695,27.4599054624599,26.8604126060367,26.9467048131216,26.934271089704,26.4906320379759,26.9226368446845,26.8820369834743,26.4453908945358,27.5595281650562,26.9137961696208,26.6851741901677,4,3,4,0.0220842297168039,0.16643969383019,1.65591774404315,0.778743091773474,0.645731995435444,0.228621979453113,FALSE,FALSE
"RPS29B","YDL061C","RPS29B",2,2,2,37.5,6.7276,56,NA,NA,NA,NA,25.0534542995476,NA,24.7837672118577,24.3552811883785,23.7352089262148,NA,23.7936231525496,23.8336165926363,21.43587568638,21.6116138063267,21.7278576966184,25.0534542995476,20.7911605734114,24.7837672118577,24.3552811883785,23.7352089262148,21.5770302473585,23.7936231525496,22.1522409454903,23.5427940282723,23.3652858786254,0,2,3,0.426702427556014,0.914234777136553,0.369874886385632,0.038942262338712,-1.39055308278192,0.177508149646901,FALSE,FALSE
"RPL31A","YDL075W;YLR406C","RPL31A",5,5,5,60.2,12.953,113,25.8737076905356,26.1697057642328,25.8239110188292,25.8667925633842,28.0372152220019,27.3087790997127,27.5784512419888,27.3214794943958,26.7064873758814,26.7375058624813,27.0169082386815,25.8737076905356,26.1697057642328,25.8239110188292,25.8667925633842,28.0372152220019,27.3087790997127,27.5784512419888,27.3214794943958,26.7064873758814,26.7375058624813,27.0169082386815,25.9335292592455,27.6414818545678,26.94559524286,4,3,4,0.00819249463663273,0.05770301634606,2.08658383426436,1.23880148410233,-1.70795259532234,0.695886611707802,FALSE,FALSE
"RPS16A","YMR143W;YDL083C","RPS16A",8,8,8,60.1,15.847,143,26.4866944947063,26.5597005649094,26.6196090166429,26.3170686333372,28.6834807866654,28.1215413426838,28.465365495624,28.4042187972975,27.957206481427,27.5981121491692,28.1093369033255,26.4866944947063,26.5597005649094,26.6196090166429,26.3170686333372,28.6834807866654,28.1215413426838,28.465365495624,28.4042187972975,27.957206481427,27.5981121491692,28.1093369033255,26.495768177399,28.4234625416577,28.0172185828048,4,3,4,0.00281606221081511,0.145292102316543,2.55035775524183,0.837757992127057,-1.92769436425876,0.40624395885294,FALSE,FALSE
"SUB2","YDL084W","SUB2",5,5,5,13,50.308,446,NA,24.0121409644853,23.6652482931761,22.7440667946577,23.4005428076289,22.9729342244902,23.0168572441412,22.4730834087849,22.5929989535033,22.7362004124511,22.2784403832684,23.7353703741867,24.0121409644853,23.6652482931761,22.7440667946577,23.4005428076289,22.9729342244902,23.0168572441412,22.4730834087849,22.5929989535033,22.7362004124511,22.2784403832684,23.5392066066264,23.1301114254201,22.5201807895019,3,3,4,0.249622882280002,0.0227955857150605,0.602715606519882,1.64214924445562,0.409095181206382,0.609930635918126,FALSE,FALSE
"CDC48","YDL126C","CDC48",14,14,14,22.2,91.995,835,NA,26.4624664510063,26.3537174552044,26.161656273172,26.8809867747194,26.7958785451481,26.9738845862213,26.7902955931028,26.1970804787642,26.3483745398904,26.2915816115285,23.7962699511716,26.4624664510063,26.3537174552044,26.161656273172,26.8809867747194,26.7958785451481,26.9738845862213,26.7902955931028,26.1970804787642,26.3483745398904,26.2915816115285,25.6935275326386,26.8835833020296,26.4068330558215,3,3,4,0.157596052088997,0.0295907890828509,0.802454666144935,1.52884345357007,-1.19005576939099,0.476750246208098,FALSE,FALSE
"RPP1B","YDL130W","RPP1B",2,2,2,47.2,10.667,106,NA,NA,NA,NA,NA,23.4487182574644,23.9860697855067,23.8331595612275,NA,NA,23.2347794317281,23.7400388060732,21.4433358300031,21.8655293058997,21.5600685767621,20.9978703228268,23.4487182574644,23.9860697855067,23.8331595612275,21.3982120122766,21.7390812526022,23.2347794317281,22.1522431296845,22.8108861219326,22.5513080644586,0,2,2,0.575906577674473,0.824805926989784,0.239647961179394,0.0836482269077247,-0.658642992248094,0.259578057474027,FALSE,FALSE
"RPL35A","YDL191W;YDL136W","RPL35A",6,6,6,48.3,13.909,120,NA,25.7486289636654,24.9742566771561,24.655181735934,28.3652374611365,28.0163769571285,28.2075068083886,28.0990870730594,27.6449894541923,27.5117140537476,27.8073486323927,23.8631554829953,25.7486289636654,24.9742566771561,24.655181735934,28.3652374611365,28.0163769571285,28.2075068083886,28.0990870730594,27.6449894541923,27.5117140537476,27.8073486323927,24.8103057149377,28.1963737422179,27.765784803348,3,3,4,0.00219802588072918,0.0448148633648755,2.65796719826753,1.34857792335053,-3.38606802728016,0.430588938869906,FALSE,FALSE
"RPO21","YDL140C","RPO21",8,8,8,5.9,191.61,1733,NA,24.4941773457668,24.3968247715558,24.4917943917238,24.0015284597839,24.1323396918533,24.0806653135036,NA,NA,NA,NA,23.752840105045,24.4941773457668,24.3968247715558,24.4917943917238,24.0015284597839,24.1323396918533,24.0806653135036,21.6062826093339,21.5894936928049,21.7821779216312,20.4543536005597,24.2839091535229,24.0715111550469,21.3580769560824,3,3,0,0.322308088532035,0.0026988229244269,0.491728795447172,2.56882560950317,0.212397998475925,2.71343419896452,FALSE,TRUE
"CCT4","YDL143W","CCT4",5,5,5,15,57.603,528,24.3519835982779,24.5173123182902,24.3464482652029,23.9647272361052,23.2502469430607,23.6543624417778,23.5786527819531,NA,22.9393561001877,23.0116121892292,22.7995045586669,24.3519835982779,24.5173123182902,24.3464482652029,23.9647272361052,23.2502469430607,23.6543624417778,23.5786527819531,21.5634847957063,22.9393561001877,23.0116121892292,22.7995045586669,24.295117854469,23.4944207222639,22.5784894109476,4,3,3,0.00635082341591957,0.0693210887331425,2.19716996261251,1.15913462502501,0.800697132205155,0.915931311316328,FALSE,FALSE
"COP1","YDL145C","COP1",4,4,4,3.4,135.61,1201,NA,22.1672037348318,NA,NA,23.0435179717876,22.2187157633869,22.8928399778531,NA,NA,NA,NA,23.7653729753327,22.1672037348318,21.8990627184445,21.5698946845473,23.0435179717876,22.2187157633869,22.8928399778531,21.3552533020466,21.5771375813199,21.4403845082324,19.6608067322877,22.3503835282891,22.7183579043425,21.0083955309717,1,3,0,0.536677572803902,0.0249273966320921,0.270286553047266,1.60332307598299,-0.367974376053436,1.70996237337084,FALSE,TRUE
"VMA1","YDL185W","VMA1",6,6,6,7.9,118.64,1071,NA,25.5534446182716,24.8469460538982,24.31831055167,23.9822443896413,23.9125078354097,23.9049961673285,23.6111049680254,24.0638986357514,24.2348378919123,23.4991140169679,23.728109829562,25.5534446182716,24.8469460538982,24.31831055167,23.9822443896413,23.9125078354097,23.9049961673285,23.6111049680254,24.0638986357514,24.2348378919123,23.4991140169679,24.6117027633505,23.9332494641265,23.8522388781643,3,3,4,0.178800811459687,0.679290438503386,0.747630514557636,0.167944498370325,0.67845329922396,0.0810105859622183,FALSE,FALSE
"NHP2","YDL208W","NHP2",2,2,2,14.1,17.122,156,NA,NA,NA,NA,23.3946678366723,NA,22.9337309904748,NA,NA,NA,NA,23.7200959707198,21.5334883519937,21.5885116855483,21.7282637324706,23.3946678366723,20.7569031757373,22.9337309904748,21.5661898727991,21.3136785627864,21.8391082153915,20.4302132831219,22.1425899351831,22.3617673342948,21.2872974835247,0,2,0,0.833345891416959,0.317216330722264,0.0791747014092311,0.498644462716351,-0.219177399111704,1.07446985077009,FALSE,FALSE
