"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","log2.LFQ.intensity.YKAF020_02","log2.LFQ.intensity.YKAF020_03","log2.LFQ.intensity.YKAF020_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF020_02","imputed.log2.LFQ.intensity.YKAF020_03","imputed.log2.LFQ.intensity.YKAF020_04","mean2_naimp_meas_YKAF000","mean2_naimp_meas_YKAF020","value_count_YKAF000","value_count_YKAF020","pvalue_YKAF020_YKAF000","log10.pvalue_YKAF020_YKAF000","difference_YKAF020_YKAF000","enriched_YKAF020_YKAF000"
"TPD3","YAL016W","TPD3",16,16,16,38.6,70.907,635,30.6072610251265,30.7716383444843,30.6518128276117,30.6863725797754,31.0667648059776,30.9391565416433,30.9106364408047,30.6072610251265,30.7716383444843,30.6518128276117,30.6863725797754,31.0667648059776,30.9391565416433,30.9106364408047,30.6792711942495,30.9721859294752,4,3,0.00817420022542124,2.08755472853652,0.292914735225722,FALSE
"PSK1","YAL017W","PSK1",9,9,8,6.9,152.33,1356,26.5065328925852,26.6892585880582,26.6204482807974,26.604842305934,26.0580046088163,26.2514754759922,26.3635424663772,26.5065328925852,26.6892585880582,26.6204482807974,26.604842305934,26.0580046088163,26.2514754759922,26.3635424663772,26.6052705168437,26.2243408503952,4,3,0.0349561766839221,1.45647607420346,-0.380929666448441,FALSE
"FUN30","YAL019W","FUN30",13,13,13,15.7,128.51,1131,28.404990215999,28.3268027815481,28.5552671966666,28.7566227440748,28.49453597553,28.5500274893096,28.2435892793908,28.404990215999,28.3268027815481,28.5552671966666,28.7566227440748,28.49453597553,28.5500274893096,28.2435892793908,28.5109207345721,28.4293842480768,4,3,0.5692734926865,0.244679037948505,-0.0815364864953025,FALSE
"CCR4","YAL021C","CCR4",16,16,16,23.7,94.669,837,28.5891728496681,28.6463635804423,28.5412275101393,28.4914044958382,28.777936515309,28.7423972315096,28.7163996865698,28.5891728496681,28.6463635804423,28.5412275101393,28.4914044958382,28.777936515309,28.7423972315096,28.7163996865698,28.567042109022,28.7455778111295,4,3,0.00697159922178328,2.15666758724921,0.178535702107471,FALSE
"PMT2","YAL023C","PMT2",9,9,8,20.2,86.869,759,30.0381315097691,29.9540750963608,30.1279247958909,29.9254976216996,29.4623260267854,29.7001829913497,29.8126366322902,30.0381315097691,29.9540750963608,30.1279247958909,29.9254976216996,29.4623260267854,29.7001829913497,29.8126366322902,30.0114072559301,29.6583818834751,4,3,0.057641078296531,1.23926790339842,-0.353025372455026,FALSE
"MAK16","YAL025C","MAK16",5,5,5,25.8,35.695,306,26.9682916753297,26.7992179753419,27.0864879165814,26.6297870475486,26.3187759955602,26.7377637168235,27.2419995826779,26.9682916753297,26.7992179753419,27.0864879165814,26.6297870475486,26.3187759955602,26.7377637168235,27.2419995826779,26.8709461537004,26.7661797650205,4,3,0.741286436295493,0.130013946318179,-0.104766388679863,FALSE
"DRS2","YAL026C","DRS2",5,5,5,3.6,153.76,1355,25.9508256880053,25.8334732614041,26.0254667319097,NA,25.2761840542818,25.3563899071566,NA,25.9508256880053,25.8334732614041,26.0254667319097,23.9110251576538,25.2761840542818,25.3563899071566,23.8190664335659,25.4301977097432,24.8172134650014,3,2,0.430205301784545,0.366324241736599,-0.612984244741767,FALSE
"MYO4","YAL029C","MYO4",13,9,9,10.2,169.34,1471,26.0946244421957,26.1481980373424,26.1625976979796,25.9837235861579,25.8548603955169,26.1941144800817,26.049595991915,26.0946244421957,26.1481980373424,26.1625976979796,25.9837235861579,25.8548603955169,26.1941144800817,26.049595991915,26.0972859409189,26.0328569558379,4,3,0.591889079735255,0.227759672622283,-0.0644289850810509,FALSE
"PRP45","YAL032C","PRP45",3,3,3,7.7,42.482,379,24.2822779618452,24.1832119279192,24.0978019643755,24.0543241040859,23.8147005849815,24.1006116542951,NA,24.2822779618452,24.1832119279192,24.0978019643755,24.0543241040859,23.8147005849815,24.1006116542951,24.1709282422038,24.1544039895564,24.0287468271601,4,2,0.375382175356393,0.425526353260085,-0.12565716239633,FALSE
"POP5","YAL033W","POP5",2,2,2,17.9,19.573,173,NA,NA,NA,NA,25.7324167124402,25.357329970515,25.7876578968278,23.2669546408524,23.6712275191871,23.9758544026516,24.0444998344889,25.7324167124402,25.357329970515,25.7876578968278,23.739634099295,25.6258015265944,0,3,0.000386440885211221,3.41291693173301,1.88616742729937,TRUE
"FUN12","YAL035W","FUN12",28,28,28,36.8,112.27,1002,31.1622495384517,31.2560304253015,31.1686589977836,31.0883469051146,31.1323445952351,31.0649034707762,31.2978361349955,31.1622495384517,31.2560304253015,31.1686589977836,31.0883469051146,31.1323445952351,31.0649034707762,31.2978361349955,31.1688214666628,31.1650280670023,4,3,0.963931150760309,0.0159539846788047,-0.00379339966056236,FALSE
"RBG1","YAL036C","RBG1",9,9,9,37.9,40.701,369,29.9695272709106,29.9310049064763,30.2052476294988,29.8429905193703,30.3680719153371,30.2220482675755,29.8533202647701,29.9695272709106,29.9310049064763,30.2052476294988,29.8429905193703,30.3680719153371,30.2220482675755,29.8533202647701,29.987192581564,30.1478134825609,4,3,0.417880400005189,0.378947998249084,0.160620900996896,FALSE
"CDC19","YAL038W","CDC19",25,25,25,83.6,54.544,500,36.7647551597138,36.9029774031801,36.8240639530835,36.7928978432397,36.9577245481085,36.9413097267765,37.0456768964663,36.7647551597138,36.9029774031801,36.8240639530835,36.7928978432397,36.9577245481085,36.9413097267765,37.0456768964663,36.8211735898043,36.9815703904504,4,3,0.0171030827138825,1.76692560393733,0.160396800646147,FALSE
"CDC24","YAL041W","CDC24",9,9,9,13.5,96.938,854,26.2863204374256,25.9715842481721,26.2280626860259,25.9167501870921,26.2695828666768,25.9936255035995,26.5479262663209,26.2863204374256,25.9715842481721,26.2280626860259,25.9167501870921,26.2695828666768,25.9936255035995,26.5479262663209,26.1006793896789,26.270378212199,4,3,0.419919592990982,0.376833861181658,0.169698822520147,FALSE
"ERV46","YAL042W","ERV46",10,10,10,45.5,46.235,415,29.8258406725063,29.8851830305235,29.9532426121825,29.653163385638,29.0859310185185,29.3892162094442,29.34127771192,29.8258406725063,29.8851830305235,29.9532426121825,29.653163385638,29.0859310185185,29.3892162094442,29.34127771192,29.8293574252126,29.2721416466276,4,3,0.00951336734177575,2.02166573341975,-0.557215778585014,FALSE
"PTA1","YAL043C","PTA1",9,9,9,15.4,88.472,785,26.6096404744368,26.8836691234926,27.0728582935316,26.936856263232,27.0321257901071,26.9548239216245,26.9520485465219,26.6096404744368,26.8836691234926,27.0728582935316,26.936856263232,27.0321257901071,26.9548239216245,26.9520485465219,26.8757560386733,26.9796660860845,4,3,0.369467400891659,0.432423874555844,0.103910047411226,FALSE
"GCV3","YAL044C","GCV3",5,5,5,42.4,18.793,170,29.3974614311222,29.0704291044733,29.101518617338,29.2384277369808,29.0255934564072,29.1893806716996,29.3170643192577,29.3974614311222,29.0704291044733,29.101518617338,29.2384277369808,29.0255934564072,29.1893806716996,29.3170643192577,29.2019592224786,29.1773461491215,4,3,0.836599214711384,0.0774825474133767,-0.0246130733570382,FALSE
"YAL044W-A","YAL044W-A","YAL044W-A",3,3,3,33.6,12.537,110,26.4351717256264,26.2416905239898,26.5568829000619,27.406491269704,26.4706498140976,26.3612347424564,26.4994486113769,26.4351717256264,26.2416905239898,26.5568829000619,27.406491269704,26.4706498140976,26.3612347424564,26.4994486113769,26.6600591048455,26.4437777226436,4,3,0.464564249744241,0.332954214114323,-0.216281382201895,FALSE
"AIM1","YAL046C","AIM1",3,3,3,16.9,13.356,118,25.5137331370299,NA,NA,NA,24.6775587896274,24.5051854636902,NA,25.5137331370299,24.2059289946778,24.0792092201795,23.8712546396183,24.6775587896274,24.5051854636902,23.8649708214522,24.4175314978764,24.3492383582566,1,2,0.884631963223586,0.0532373729012507,-0.0682931396197688,FALSE
"AIM2","YAL049C","AIM2",9,9,9,69.9,27.089,246,29.4204731523127,29.300642393855,29.3531495519728,29.3472892145454,29.0622420861752,28.9438858219243,28.9785833888418,29.4204731523127,29.300642393855,29.3531495519728,29.3472892145454,29.0622420861752,28.9438858219243,28.9785833888418,29.3553885781715,28.9949037656471,4,3,0.00131690213546617,2.88044649808775,-0.360484812524373,FALSE
"FLC2","YAL053W","FLC2",4,4,4,5.1,87.468,783,26.1866538069023,25.8266772670009,25.8403574639637,25.7346405800548,NA,NA,NA,26.1866538069023,25.8266772670009,25.8403574639637,25.7346405800548,23.636759810206,24.2564710102441,23.218178274314,25.8970822794804,23.703803031588,4,0,0.0117458954752943,1.93011386818784,-2.19327924789241,TRUE
"CNE1","YAL058W","CNE1",3,3,3,9.2,56.967,502,NA,25.1960674687465,NA,25.5879219217818,25.2940384580744,24.9338210210556,NA,24.1239546445495,25.1960674687465,23.8249288604745,25.5879219217818,25.2940384580744,24.9338210210556,23.3346640213619,24.6832182238881,24.5208411668306,2,2,0.836424920865,0.0775730360732571,-0.162377057057487,FALSE
"ECM1","YAL059W","ECM1",9,9,9,50,23.891,212,28.939773066019,29.1330799138243,29.2061097955547,28.9373334516771,29.3585041889725,29.4358711524873,29.0504577456092,28.939773066019,29.1330799138243,29.2061097955547,28.9373334516771,29.3585041889725,29.4358711524873,29.0504577456092,29.0540740567688,29.281611029023,4,3,0.184243859650227,0.734606977088775,0.227536972254249,FALSE
"BDH1","YAL060W","BDH1",11,11,11,36.6,41.582,382,29.7552383295904,29.6938509365405,29.7020177349222,29.6087948975595,29.304999281293,29.2404308797251,29.0784426797001,29.7552383295904,29.6938509365405,29.7020177349222,29.6087948975595,29.304999281293,29.2404308797251,29.0784426797001,29.6899754746531,29.2079576135727,4,3,0.008888296285227,2.05118147691884,-0.482017861080394,FALSE
"ERP1","YAR002C-A","ERP1",6,6,6,29.7,24.723,219,30.0480424972336,30.1700927321037,29.9677421818777,30.0871457918065,30.3486826741266,30.0743138460757,30.2437708475301,30.0480424972336,30.1700927321037,29.9677421818777,30.0871457918065,30.3486826741266,30.0743138460757,30.2437708475301,30.0682558007554,30.2222557892441,4,3,0.183716405662442,0.735852059967796,0.153999988488774,FALSE
"NUP60","YAR002W","NUP60",19,19,19,52.9,59.039,539,29.2730651543242,28.9255542135108,29.2600864295443,29.3454926223626,29.2767963791459,29.1704748207401,29.328130539929,29.2730651543242,28.9255542135108,29.2600864295443,29.3454926223626,29.2767963791459,29.1704748207401,29.328130539929,29.2010496049355,29.258467246605,4,3,0.610525854724693,0.214295939701889,0.0574176416695131,FALSE
"RFA1","YAR007C","RFA1",21,21,21,46.9,70.347,621,30.6125433708371,30.491996943091,30.4690781978773,30.3988684312948,30.3355392296776,30.3955015801964,30.2680751291344,30.6125433708371,30.491996943091,30.4690781978773,30.3988684312948,30.3355392296776,30.3955015801964,30.2680751291344,30.493121735775,30.3330386463362,4,3,0.0392155584927323,1.40654159555674,-0.160083089438885,FALSE
"BUD14","YAR014C","BUD14",5,5,5,9.2,78.981,709,26.0067160881413,26.2885574611166,26.1910293854582,25.8599862707127,26.0516508916451,26.1744568423217,25.7940943500196,26.0067160881413,26.2885574611166,26.1910293854582,25.8599862707127,26.0516508916451,26.1744568423217,25.7940943500196,26.0865723013572,26.0067340279955,4,3,0.613914052712962,0.211892425349391,-0.0798382733616947,FALSE
"ADE1","YAR015W","ADE1",17,17,17,77.1,34.603,306,32.7047077760439,32.6825476575068,32.6778729370255,32.7124773701898,33.1268331089004,33.1682853955149,32.8980199461895,32.7047077760439,32.6825476575068,32.6778729370255,32.7124773701898,33.1268331089004,33.1682853955149,32.8980199461895,32.6944014351915,33.0643794835349,4,3,0.0466524672140002,1.33112538366255,0.36997804834342,FALSE
"SWH1","YAR042W","SWH1",15,15,15,14.5,135.1,1188,27.7252043896748,27.4823922963912,27.1816774581918,27.188484865995,27.0707105884699,27.2478953613813,27.013717610678,27.7252043896748,27.4823922963912,27.1816774581918,27.188484865995,27.0707105884699,27.2478953613813,27.013717610678,27.3944397525632,27.1107745201764,4,3,0.121588144367351,0.915108769527537,-0.283665232386777,FALSE
"PHO12","YHR215W;YAR071W","PHO12",6,5,5,18.4,52.699,467,29.8043203912785,29.8306837639275,29.9597509177847,29.7643794861978,27.6717540892996,27.7056967136178,27.7893629969957,29.8043203912785,29.8306837639275,29.9597509177847,29.7643794861978,27.6717540892996,27.7056967136178,27.7893629969957,29.8397836397972,27.7222712666377,4,3,2.1977219888788e-07,6.65802724654957,-2.11751237315946,TRUE
"ECM15","YBL001C","ECM15",3,3,3,52.9,11.518,104,NA,28.2473068665574,NA,27.7265042321277,26.4047060570964,26.3078936858487,26.3676804252672,23.703346117007,28.2473068665574,24.2504903462975,27.7265042321277,26.4047060570964,26.3078936858487,26.3676804252672,25.9819118904974,26.3600933894041,2,3,0.767365093057377,0.114997960463951,0.378181498906702,FALSE
"HTB1","YDR224C;YBL002W","HTB1",6,6,6,63.4,14.252,131,33.1177602045924,33.2833360132841,33.1281553283279,33.3022559761314,33.2106422472206,33.2013089063526,33.3500800597118,33.1177602045924,33.2833360132841,33.1281553283279,33.3022559761314,33.2106422472206,33.2013089063526,33.3500800597118,33.2078768805839,33.2540104044283,4,3,0.533336525169063,0.272998672952806,0.0461335238444036,FALSE
"HTA1","YDR225W;YBL003C","HTA1",3,3,3,33.3,13.989,132,31.9425162055895,32.3051134725486,32.866844137808,32.5677853352573,32.7432643612198,32.6478092935838,32.8949162496411,31.9425162055895,32.3051134725486,32.866844137808,32.5677853352573,32.7432643612198,32.6478092935838,32.8949162496411,32.4205647878008,32.7619966348149,4,3,0.182440516981642,0.738878705769203,0.341431847014064,FALSE
"UTP20","YBL004W","UTP20",37,37,37,18.1,287.56,2493,29.1536389245714,29.2005081770209,29.0972795618091,28.9440534407279,29.1665296641637,29.1099097423407,29.0721683083782,29.1536389245714,29.2005081770209,29.0972795618091,28.9440534407279,29.1665296641637,29.1099097423407,29.0721683083782,29.0988700260323,29.1162025716275,4,3,0.793313091425947,0.100555378832269,0.0173325455951954,FALSE
"SLA1","YBL007C","SLA1",21,21,21,19.9,135.85,1244,29.3432913912755,29.1712148296296,29.2740877589848,29.3843863606468,29.1991511830612,29.2603781119928,29.094413029543,29.3432913912755,29.1712148296296,29.2740877589848,29.3843863606468,29.1991511830612,29.2603781119928,29.094413029543,29.2932450851342,29.1846474415323,4,3,0.170637404972584,0.767925762192106,-0.108597643601851,FALSE
"HIR1","YBL008W","HIR1",3,3,3,4.6,93.857,840,24.015122356414,NA,NA,23.2912302916581,23.4722158459147,NA,NA,24.015122356414,23.6680377701459,23.3681629535575,23.2912302916581,23.4722158459147,23.7448709700921,23.3707000673548,23.5856383429439,23.5292622944539,2,1,0.788581650876443,0.103153332532667,-0.0563760484900016,FALSE
"SCT1","YBL011W","SCT1",7,7,7,10.5,85.693,759,26.1131879799496,26.6952457112208,26.4549266518949,26.6496561532847,26.4231811964407,26.6275623824341,26.6683087247774,26.1131879799496,26.6952457112208,26.4549266518949,26.6496561532847,26.4231811964407,26.6275623824341,26.6683087247774,26.4782541240875,26.5730174345507,4,3,0.564239687282674,0.248536369861467,0.0947633104632324,FALSE
"ACH1","YBL015W","ACH1",14,14,14,36.1,58.711,526,29.2601088687496,29.4616627276785,29.6083366697363,29.3284943893474,28.1655237175517,28.3165681140542,28.3220814952562,29.2601088687496,29.4616627276785,29.6083366697363,29.3284943893474,28.1655237175517,28.3165681140542,28.3220814952562,29.4146506638779,28.2680577756207,4,3,7.60765676177907e-05,4.11874908989662,-1.14659288825725,TRUE
"FUS3","YBL016W","FUS3",5,5,5,18.4,40.772,353,25.7416517257298,25.4280948327415,NA,NA,NA,NA,NA,25.7416517257298,25.4280948327415,23.872751557074,23.9990938641038,23.709715533348,23.6441501112319,24.3151377506313,24.7603979949122,23.8896677984037,2,0,0.172262301273901,0.763809755286105,-0.870730196508497,FALSE
"PEP1","YBL017C;YNR065C","PEP1",31,31,29,26.7,177.78,1579,30.2081582850494,30.1954245889203,30.348577156113,30.2466048857669,30.2173175482027,30.1336923931546,30.0163769571285,30.2081582850494,30.1954245889203,30.348577156113,30.2466048857669,30.2173175482027,30.1336923931546,30.0163769571285,30.2496912289624,30.1224622994953,4,3,0.14677801689399,0.833338984314653,-0.127228929467094,FALSE
"PIM1","YBL022C","PIM1",32,32,32,35.5,127.11,1133,30.213266819423,30.3985626783974,30.5096581665203,30.4573829771126,30.3120296344131,30.3514234371212,30.4342015044071,30.213266819423,30.3985626783974,30.5096581665203,30.4573829771126,30.3120296344131,30.3514234371212,30.4342015044071,30.3947176603633,30.3658848586472,4,3,0.714384902558792,0.146067732177587,-0.0288328017161739,FALSE
"MCM2","YBL023C","MCM2",9,9,9,13.7,98.778,868,27.2223247077208,27.0638369350946,27.102094568501,26.9975500919554,26.8352094437819,27.1239600262373,26.653351337784,27.2223247077208,27.0638369350946,27.102094568501,26.9975500919554,26.8352094437819,27.1239600262373,26.653351337784,27.096451575818,26.8708402692677,4,3,0.235723971688491,0.627596250133038,-0.225611306550249,FALSE
"NCL1","YBL024W","NCL1",35,35,35,75.6,77.878,684,32.0021926917544,31.9955365699165,32.0381642235714,31.9332582377284,32.1971543162617,32.057595409977,32.0475550618317,32.0021926917544,31.9955365699165,32.0381642235714,31.9332582377284,32.1971543162617,32.057595409977,32.0475550618317,31.9922879307427,32.1007682626901,4,3,0.13882836908315,0.85752177828063,0.108480331947447,FALSE
"LSM2","YBL026W","LSM2",4,4,4,45.3,11.163,95,28.0456752692893,28.4197300592628,28.6145280505097,28.4618188254947,28.63574889225,28.8237470613745,28.7799411288017,28.0456752692893,28.4197300592628,28.6145280505097,28.4618188254947,28.63574889225,28.8237470613745,28.7799411288017,28.3854380511391,28.7464790274754,4,3,0.0514477409941096,1.28863368980983,0.361040976336252,FALSE
"RPL19A","YBR084C-A;YBL027W","RPL19A",9,9,9,54,21.704,189,34.8939223779594,34.9358768308678,34.9988768736324,34.6104987564765,34.8050607452394,34.8115824956029,34.9058487068806,34.8939223779594,34.9358768308678,34.9988768736324,34.6104987564765,34.8050607452394,34.8115824956029,34.9058487068806,34.859793709734,34.840830649241,4,3,0.846951855363813,0.0721412762620892,-0.0189630604930571,FALSE
"YBL028C","YBL028C","YBL028C",3,3,3,35.8,12.401,106,28.8948692820312,28.4503790655698,28.0598722823328,28.6297870475486,27.9033994841047,28.2614097458548,28.0900772779739,28.8948692820312,28.4503790655698,28.0598722823328,28.6297870475486,27.9033994841047,28.2614097458548,28.0900772779739,28.5087269193706,28.0849621693111,4,3,0.0964585988509773,1.01565905089131,-0.423764750059494,FALSE
"PET9","YBL030C","PET9",13,13,12,41.2,34.426,318,32.0510609264469,32.1552686453105,31.8502827601561,32.1749806016453,31.6881248918483,31.8068955692675,31.3593528054061,32.0510609264469,32.1552686453105,31.8502827601561,32.1749806016453,31.6881248918483,31.8068955692675,31.3593528054061,32.0578982333897,31.618124422174,4,3,0.0587537152284352,1.23096466604017,-0.439773811215719,FALSE
"HEK2","YBL032W","HEK2",9,9,9,38.6,41.682,381,29.6318522182622,29.3975226335845,29.3702772670541,29.3419987201575,28.8613595670428,28.9901556531036,29.2859502014375,29.6318522182622,29.3975226335845,29.3702772670541,29.3419987201575,28.8613595670428,28.9901556531036,29.2859502014375,29.4354127097646,29.0458218071946,4,3,0.0684736773665426,1.16447634779923,-0.389590902569946,FALSE
"RIB1","YBL033C","RIB1",5,5,5,18.3,38.332,345,26.7309149568465,27.1663381093548,27.1937573982806,27.1639415257928,27.2396345083108,26.7758035570829,27.0630140074198,26.7309149568465,27.1663381093548,27.1937573982806,27.1639415257928,27.2396345083108,26.7758035570829,27.0630140074198,27.0637379975687,27.0261506909378,4,3,0.839718410981595,0.0758663247228833,-0.0375873066308685,FALSE
"STU1","YBL034C","STU1",4,4,4,3.3,174.18,1513,24.6181251224114,24.8578527022268,NA,23.6774512582264,24.0558139786151,NA,23.7877575201432,24.6181251224114,24.8578527022268,23.4296186084829,23.6774512582264,24.0558139786151,24.1867722677117,23.7877575201432,24.1457619228369,24.0101145888234,3,2,0.733020962911867,0.134883605240498,-0.135647334013534,FALSE
"POL12","YBL035C","POL12",8,8,8,16.6,78.773,705,25.9117081469633,25.8657075996781,25.951715142436,25.7820429794854,25.8984373529365,25.9048813570052,25.6665490927601,25.9117081469633,25.8657075996781,25.951715142436,25.7820429794854,25.8984373529365,25.9048813570052,25.6665490927601,25.8777934671407,25.8232892675672,4,3,0.575005611978009,0.240327916633521,-0.0545041995734543,FALSE
"YBL036C","YBL036C","YBL036C",15,15,15,76.3,29.123,257,29.9279008181492,29.7819585891463,29.9981959784194,29.9127076882797,30.0286789285929,29.9332582377284,29.5997267059454,29.9279008181492,29.7819585891463,29.9981959784194,29.9127076882797,30.0286789285929,29.9332582377284,29.5997267059454,29.9051907684987,29.8538879574222,4,3,0.738778453566905,0.13148577922185,-0.0513028110764431,FALSE
"APL3","YBL037W","APL3",6,6,6,8.5,115.01,1025,25.3890643668955,25.5104167338622,25.5947708479037,25.2908437409622,25.4540010176581,25.5475438967627,25.84345185873,25.3890643668955,25.5104167338622,25.5947708479037,25.2908437409622,25.4540010176581,25.5475438967627,25.84345185873,25.4462739224059,25.6149989243836,4,3,0.293376821829971,0.532574200475595,0.168725001977712,FALSE
"MRPL16","YBL038W","MRPL16",3,3,3,16.4,26.518,232,25.3811959696595,24.604842305934,25.1021346261162,24.3930971287971,23.9200714877906,NA,24.1238416544971,25.3811959696595,24.604842305934,25.1021346261162,24.3930971287971,23.9200714877906,24.2962117970538,24.1238416544971,24.8703175076267,24.1133749797805,4,2,0.0367227980697875,1.43506423542362,-0.756942527846224,FALSE
"URA7","YBL039C","URA7",25,25,23,61.7,64.71,579,33.0064291928615,32.8908641901374,32.9620460462905,32.8478585948214,32.9978427950872,33.0093856902201,32.944228022942,33.0064291928615,32.8908641901374,32.9620460462905,32.8478585948214,32.9978427950872,33.0093856902201,32.944228022942,32.9267995060277,32.9838188360831,4,3,0.226476202304489,0.644977426105126,0.0570193300553541,FALSE
"PRE7","YBL041W","PRE7",8,8,8,53.9,26.871,241,30.3459366944496,30.4373801232438,30.1680611877055,30.4199108468567,30.3671346607931,30.4374793423244,30.3442442592783,30.3459366944496,30.4373801232438,30.1680611877055,30.4199108468567,30.3671346607931,30.4374793423244,30.3442442592783,30.3428222130639,30.3829527541319,4,3,0.584015856842386,0.233575361028596,0.0401305410680486,FALSE
